,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK,xG/90,xAG/90,xG+xAG,npxG/90,npxG+xAG/90,MP_H,W_H,D_H,L_H,GF_H,GA_H,GD_H,Pts_H,Pts/MP_H,xG_H,xGA_H,xGD_H,xGD/90_H,MP_A,W_A,D_A,L_A,GF_A,GA_A,GD_A,Pts_A,Pts/MP_A,xG_A,xGA_A,xGD_A,xGD/90_A,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,year,country,league
51,Sarmiento,26,27.8,38.8,27,297,2430,27,26,13,39,20,6,6,79,3,27.9,23.2,16.2,39.5,254,637,0.96,0.48,1.44,0.74,1.22,1.03,0.6,1.63,0.86,1.46,13,4,4,5,15,17,-2,16,1.23,17.2,14.6,2.6,0.2,14,2,6,6,8,15,-7,12,0.86,12.7,15.9,-3.2,-0.23,302,82,27.2,11.19,3.04,0.06,0.23,18.9,13,2022,argentina,liga_argentina
52,Talleres,31,26.0,52.1,27,297,2430,27,27,19,46,23,4,5,70,5,28.5,24.6,20.1,44.7,421,1021,1.0,0.7,1.7,0.85,1.56,1.06,0.74,1.8,0.91,1.66,14,3,9,2,16,11,5,18,1.29,12.4,10.9,1.5,0.1,13,2,3,8,8,16,-8,9,0.69,11.6,14.0,-2.5,-0.19,353,108,30.6,13.07,4.0,0.11,0.37,19.0,23,2022,argentina,liga_argentina
53,Tigre,26,26.0,51.5,27,297,2430,27,40,21,61,34,6,6,56,5,35.2,30.6,21.8,52.5,413,1013,1.48,0.78,2.26,1.26,2.04,1.3,0.81,2.11,1.13,1.94,13,4,4,5,10,13,-3,16,1.23,13.6,11.5,2.1,0.16,14,2,3,9,8,16,-8,9,0.64,12.0,13.5,-1.6,-0.11,406,122,30.0,15.04,4.52,0.06,0.19,20.1,22,2022,argentina,liga_argentina
54,Unión,26,24.1,49.0,27,297,2430,27,28,20,48,25,3,4,73,3,32.2,29.0,22.5,51.6,457,981,1.04,0.74,1.78,0.93,1.67,1.19,0.83,2.03,1.08,1.91,14,3,7,4,14,19,-5,16,1.14,15.2,17.7,-2.5,-0.18,13,1,6,6,6,14,-8,9,0.69,10.4,19.2,-8.8,-0.68,316,94,29.7,11.7,3.48,0.06,0.19,20.1,12,2022,argentina,liga_argentina
55,Vélez Sarsfield,33,25.5,57.9,27,297,2430,27,29,17,46,24,5,6,84,6,28.4,23.8,18.8,42.6,410,1156,1.07,0.63,1.7,0.89,1.52,1.05,0.7,1.75,0.88,1.58,13,5,1,7,13,17,-4,16,1.23,11.6,16.0,-4.4,-0.34,14,1,3,10,5,17,-12,6,0.43,11.4,18.6,-7.2,-0.51,268,81,30.2,9.93,3.0,0.08,0.26,18.9,18,2022,argentina,liga_argentina
56,América (MG),46,29.1,43.0,38,418,3420,38,42,30,72,38,4,6,89,10,46.7,42.1,34.4,76.5,638,1387,1.11,0.79,1.89,1.0,1.79,1.23,0.91,2.13,1.11,2.01,19,14,2,3,35,12,23,44,2.32,35.6,11.8,23.8,1.25,19,6,8,5,29,21,8,26,1.37,21.5,27.5,-6.0,-0.31,510,155,30.4,13.42,4.08,0.07,0.25,19.0,17,2023,brasil,brasileirao
57,Ath Paranaense,40,26.1,48.5,38,418,3420,38,51,38,89,47,4,4,109,4,51.1,48.2,38.9,87.1,592,1362,1.34,1.0,2.34,1.24,2.24,1.34,1.02,2.37,1.27,2.29,19,14,2,3,34,16,18,44,2.32,26.0,18.5,7.5,0.39,19,7,3,9,29,40,-11,24,1.26,23.9,36.4,-12.5,-0.66,551,168,30.5,14.5,4.42,0.09,0.28,19.3,23,2023,brasil,brasileirao
58,Atlético Mineiro,31,28.7,52.7,38,418,3420,38,51,35,86,45,6,6,113,5,46.5,42.3,32.9,75.2,669,1399,1.34,0.92,2.26,1.18,2.11,1.22,0.87,2.09,1.11,1.98,19,11,3,5,28,16,12,36,1.89,25.1,18.0,7.1,0.37,19,8,6,5,24,16,8,30,1.58,21.4,23.0,-1.6,-0.08,480,165,34.4,12.63,4.34,0.09,0.27,20.1,43,2023,brasil,brasileirao
59,Bahia,35,26.9,49.7,38,418,3420,38,48,28,76,44,4,4,100,5,50.6,47.6,31.8,79.4,688,1502,1.26,0.74,2.0,1.16,1.89,1.33,0.84,2.17,1.25,2.09,19,10,5,4,26,16,10,35,1.84,27.5,21.1,6.3,0.33,19,9,4,6,30,26,4,31,1.63,22.6,23.5,-0.9,-0.05,535,164,30.7,14.08,4.32,0.08,0.27,18.5,16,2023,brasil,brasileirao
60,Botafogo (RJ),36,28.5,48.1,38,418,3420,38,56,40,96,51,5,7,93,4,50.1,44.6,33.1,77.6,658,1438,1.47,1.05,2.53,1.34,2.39,1.32,0.87,2.19,1.17,2.04,19,11,4,4,36,17,19,37,1.95,33.3,19.5,13.8,0.73,19,7,6,6,22,20,2,27,1.42,16.8,29.6,-12.7,-0.67,516,168,32.6,13.58,4.42,0.1,0.3,19.2,21,2023,brasil,brasileirao
