,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK,xG/90,xAG/90,xG+xAG,npxG/90,npxG+xAG/90,MP_H,W_H,D_H,L_H,GF_H,GA_H,GD_H,Pts_H,Pts/MP_H,xG_H,xGA_H,xGD_H,xGD/90_H,MP_A,W_A,D_A,L_A,GF_A,GA_A,GD_A,Pts_A,Pts/MP_A,xG_A,xGA_A,xGD_A,xGD/90_A,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,year,country,league
145,CSA,40,28.7,40.4,38,418,3420,38,24,15,39,20,4,5,95,4,34.6,30.6,25.0,55.6,527,1070,0.63,0.39,1.03,0.53,0.92,0.91,0.66,1.57,0.81,1.46,19,11,3,5,31,23,8,36,1.89,29.8,23.1,6.7,0.35,19,4,4,11,15,41,-26,16,0.84,17.4,40.3,-22.9,-1.2,405,110,27.2,10.66,2.89,0.05,0.18,20.7,19,2019,brasil,brasileirao
146,Flamengo,37,26.8,58.4,38,418,3420,38,85,64,149,79,6,8,90,3,81.6,75.5,63.2,138.7,919,1992,2.24,1.68,3.92,2.08,3.76,2.15,1.66,3.81,1.99,3.65,19,7,8,4,24,18,6,29,1.53,28.4,16.5,11.8,0.62,19,5,5,9,20,25,-5,20,1.05,23.4,30.9,-7.5,-0.4,578,209,36.2,15.21,5.5,0.14,0.38,17.7,26,2019,brasil,brasileirao
147,Fluminense,39,25.1,57.1,38,418,3420,38,35,20,55,31,4,5,90,9,54.6,50.6,40.8,91.4,937,1870,0.92,0.53,1.45,0.82,1.34,1.44,1.07,2.51,1.33,2.4,19,7,6,6,20,22,-2,27,1.42,30.1,22.5,7.6,0.4,19,5,7,7,19,23,-4,22,1.16,26.6,31.3,-4.7,-0.25,565,175,31.0,14.87,4.61,0.05,0.18,18.6,16,2019,brasil,brasileirao
148,Fortaleza,32,28.1,45.4,38,418,3420,38,48,33,81,40,8,9,86,6,50.0,43.0,33.6,76.6,661,1267,1.26,0.87,2.13,1.05,1.92,1.32,0.88,2.2,1.13,2.02,19,10,2,7,28,23,5,32,1.68,39.0,19.2,19.8,1.04,19,3,7,9,17,26,-9,16,0.84,20.5,31.2,-10.7,-0.56,413,139,33.7,10.87,3.66,0.1,0.29,20.6,23,2019,brasil,brasileirao
149,Goiás,39,26.4,42.2,38,418,3420,38,44,25,69,40,4,4,87,7,47.2,44.0,31.4,75.4,681,1213,1.16,0.66,1.82,1.05,1.71,1.24,0.83,2.07,1.16,1.99,19,6,7,6,18,15,3,25,1.32,32.2,20.4,11.8,0.62,19,6,3,10,20,31,-11,21,1.11,22.3,32.5,-10.2,-0.54,502,142,28.3,13.21,3.74,0.08,0.28,21.3,39,2019,brasil,brasileirao
150,Grêmio,40,27.6,56.6,38,418,3420,38,63,48,111,56,7,9,81,2,57.0,50.0,38.9,89.0,846,1759,1.66,1.26,2.92,1.47,2.74,1.5,1.02,2.53,1.32,2.34,19,9,2,8,19,17,2,29,1.53,22.6,26.9,-4.3,-0.23,19,4,2,13,12,28,-16,14,0.74,15.4,36.0,-20.6,-1.08,514,181,35.2,13.53,4.76,0.11,0.31,19.8,37,2019,brasil,brasileirao
151,Internacional,38,27.9,53.5,38,418,3420,38,43,25,68,42,1,3,94,3,53.0,50.8,37.6,88.4,744,1608,1.13,0.66,1.79,1.11,1.76,1.4,0.99,2.39,1.34,2.33,19,8,6,5,23,14,9,30,1.58,26.9,21.0,5.9,0.31,19,2,3,14,13,27,-14,9,0.47,21.8,32.4,-10.6,-0.56,545,175,32.1,14.34,4.61,0.08,0.24,19.4,33,2019,brasil,brasileirao
152,Palmeiras,35,28.5,49.3,38,418,3420,38,61,42,103,56,5,6,73,4,59.7,55.2,44.5,99.7,726,1550,1.61,1.11,2.71,1.47,2.58,1.57,1.17,2.74,1.45,2.62,19,5,8,6,13,17,-4,23,1.21,25.4,21.4,3.9,0.21,19,2,7,10,14,29,-15,13,0.68,21.2,29.9,-8.8,-0.46,561,200,35.7,14.76,5.26,0.1,0.28,18.9,28,2019,brasil,brasileirao
153,Santos,30,26.5,56.2,38,418,3420,38,58,39,97,53,5,7,108,10,62.1,56.6,43.4,100.1,880,1695,1.53,1.03,2.55,1.39,2.42,1.63,1.14,2.78,1.49,2.63,19,6,5,8,17,24,-7,23,1.21,22.1,27.3,-5.3,-0.28,19,2,3,14,7,34,-27,9,0.47,12.5,36.8,-24.3,-1.28,577,202,35.0,15.18,5.32,0.09,0.26,19.0,29,2019,brasil,brasileirao
154,São Paulo,37,26.5,53.3,38,418,3420,38,39,32,71,36,3,4,85,6,44.1,41.1,34.7,75.8,841,1494,1.03,0.84,1.87,0.95,1.79,1.16,0.91,2.08,1.08,1.99,19,4,5,10,16,22,-6,17,0.89,25.5,27.8,-2.2,-0.12,19,3,6,10,15,30,-15,15,0.79,16.1,39.9,-23.8,-1.25,517,167,32.3,13.61,4.39,0.07,0.22,20.7,31,2019,brasil,brasileirao
155,Vasco da Gama,39,26.0,44.6,38,418,3420,38,37,20,57,29,8,12,103,4,56.7,47.6,35.9,83.5,659,1317,0.97,0.53,1.5,0.76,1.29,1.49,0.94,2.44,1.25,2.2,19,1,9,9,10,24,-14,12,0.63,21.6,20.9,0.7,0.04,19,2,2,15,8,38,-30,8,0.42,13.2,37.0,-23.8,-1.25,501,147,29.3,13.18,3.87,0.06,0.2,19.2,33,2019,brasil,brasileirao
156,Ajax,35,22.4,59.6,34,374,3060,34,72,60,132,67,5,6,44,3,65.1,60.4,52.5,112.9,734,1646,2.12,1.76,3.88,1.97,3.74,1.91,1.54,3.46,1.78,3.32,17,16,1,0,54,11,43,49,2.88,54.5,14.2,40.3,2.37,17,13,3,1,57,10,47,42,2.47,44.4,14.0,30.4,1.79,514,208,40.5,15.12,6.12,0.13,0.32,16.3,11,2023,netherlands,eredivisie
157,Almere City,29,24.6,44.0,34,374,3060,34,32,27,59,29,3,3,69,3,34.7,32.5,27.1,59.6,421,1117,0.94,0.79,1.74,0.85,1.65,1.02,0.8,1.82,0.96,1.75,17,13,3,1,51,10,41,42,2.47,49.4,10.2,39.2,2.31,17,13,3,1,41,16,25,42,2.47,43.7,16.0,27.7,1.63,375,109,29.1,11.03,3.21,0.08,0.27,17.9,12,2023,netherlands,eredivisie
158,AZ Alkmaar,33,24.3,54.5,34,374,3060,34,68,49,117,66,2,2,47,2,56.6,55.0,41.6,96.5,656,1561,2.0,1.44,3.44,1.94,3.38,1.66,1.22,2.89,1.62,2.84,17,14,1,2,40,17,23,43,2.53,32.6,14.8,17.8,1.05,17,7,5,5,29,19,10,26,1.53,25.4,21.9,3.5,0.2,478,174,36.4,14.06,5.12,0.14,0.38,16.5,16,2023,netherlands,eredivisie
159,Excelsior,27,23.2,45.6,34,374,3060,34,48,43,91,47,1,1,51,4,45.7,45.0,37.7,82.7,574,1037,1.41,1.26,2.68,1.38,2.65,1.35,1.11,2.46,1.32,2.43,17,11,3,3,41,18,23,36,2.12,31.6,17.0,14.6,0.86,17,8,5,4,29,21,8,29,1.71,24.9,22.7,2.2,0.13,377,137,36.3,11.09,4.03,0.12,0.34,16.5,9,2023,netherlands,eredivisie
160,Feyenoord,25,24.0,61.8,34,374,3060,34,90,69,159,86,4,7,35,1,93.1,87.7,69.6,157.3,924,2088,2.65,2.03,4.68,2.53,4.56,2.74,2.05,4.78,2.58,4.63,17,9,6,2,39,21,18,33,1.94,33.4,20.6,12.8,0.76,17,6,5,6,35,40,-5,23,1.35,31.7,32.0,-0.3,-0.02,694,253,36.5,20.41,7.44,0.12,0.34,16.5,23,2023,netherlands,eredivisie
161,Fortuna Sittard,32,26.8,43.2,34,374,3060,34,36,24,60,33,3,7,58,3,44.6,39.1,28.7,67.8,547,1096,1.06,0.71,1.76,0.97,1.68,1.31,0.84,2.16,1.15,1.99,17,8,4,5,35,25,10,28,1.65,26.2,25.6,0.6,0.03,17,6,7,4,33,26,7,25,1.47,21.8,34.4,-12.6,-0.74,471,151,32.1,13.85,4.44,0.07,0.22,18.5,16,2023,netherlands,eredivisie
162,Go Ahead Eag,23,25.4,44.9,34,374,3060,34,47,30,77,43,4,5,39,3,49.5,45.6,34.4,80.0,521,1234,1.38,0.88,2.26,1.26,2.15,1.46,1.01,2.47,1.34,2.35,17,8,5,4,29,23,6,29,1.71,25.9,22.7,3.2,0.19,17,5,6,6,20,24,-4,21,1.24,20.4,25.3,-4.9,-0.29,486,185,38.1,14.29,5.44,0.09,0.23,17.6,21,2023,netherlands,eredivisie
163,Heerenveen,26,25.4,49.7,34,374,3060,34,52,27,79,45,7,8,39,4,46.9,40.7,29.9,70.6,678,1320,1.53,0.79,2.32,1.32,2.12,1.38,0.88,2.26,1.2,2.08,17,6,5,6,25,25,0,23,1.35,26.4,23.4,3.0,0.18,17,8,2,7,26,23,3,26,1.53,19.8,29.1,-9.3,-0.55,486,153,31.5,14.29,4.5,0.09,0.29,18.0,14,2023,netherlands,eredivisie
164,Heracles Almelo,28,25.6,46.3,34,374,3060,34,41,30,71,36,5,6,70,2,41.8,37.2,29.5,66.7,576,1083,1.21,0.88,2.09,1.06,1.94,1.23,0.87,2.1,1.09,1.96,17,7,4,6,31,23,8,25,1.47,29.8,25.7,4.0,0.24,17,5,6,6,16,23,-7,21,1.24,19.7,29.9,-10.1,-0.6,362,116,32.0,10.65,3.41,0.1,0.31,17.9,8,2023,netherlands,eredivisie
165,NEC Nijmegen,28,26.0,48.4,34,374,3060,34,67,42,109,61,6,6,53,4,48.0,43.3,32.0,75.2,555,1215,1.97,1.24,3.21,1.79,3.03,1.41,0.94,2.35,1.27,2.21,17,7,6,4,27,20,7,27,1.59,29.1,17.0,12.0,0.71,17,2,5,10,10,36,-26,11,0.65,15.6,26.4,-10.8,-0.64,440,193,43.9,12.94,5.68,0.14,0.32,18.0,19,2023,netherlands,eredivisie
166,PSV Eindhoven,29,26.1,64.5,34,374,3060,34,108,88,196,101,7,9,32,1,99.0,92.0,77.2,169.2,960,2159,3.18,2.59,5.76,2.97,5.56,2.91,2.27,5.18,2.71,4.98,17,6,3,8,30,36,-6,21,1.24,27.4,23.9,3.5,0.21,17,4,4,9,23,34,-11,16,0.94,19.6,29.6,-10.0,-0.59,780,291,37.3,22.94,8.56,0.13,0.35,16.5,7,2023,netherlands,eredivisie
167,RKC Waalwijk,26,26.2,45.3,34,374,3060,34,37,26,63,32,5,5,58,4,44.5,40.6,33.3,73.9,583,1174,1.09,0.76,1.85,0.94,1.71,1.31,0.98,2.29,1.19,2.17,17,5,3,9,19,31,-12,18,1.06,25.2,24.0,1.2,0.07,17,4,6,7,26,36,-10,18,1.06,17.9,38.5,-20.6,-1.21,408,140,34.3,12.0,4.12,0.08,0.23,17.5,15,2023,netherlands,eredivisie
168,Sparta R'dam,26,25.7,47.0,34,374,3060,34,49,37,86,44,5,5,39,2,46.2,42.2,33.2,75.4,523,1278,1.44,1.09,2.53,1.29,2.38,1.36,0.98,2.33,1.24,2.22,17,3,7,7,18,30,-12,16,0.94,18.5,26.8,-8.3,-0.49,17,4,6,7,15,29,-14,18,1.06,16.2,29.0,-12.8,-0.75,435,163,37.5,12.79,4.79,0.1,0.27,17.7,11,2023,netherlands,eredivisie
169,Twente,26,25.4,56.2,34,374,3060,34,67,46,113,64,3,3,51,3,57.9,55.7,42.6,98.3,635,1655,1.97,1.35,3.32,1.88,3.24,1.7,1.25,2.96,1.64,2.89,17,6,4,7,25,35,-10,22,1.29,23.3,30.9,-7.6,-0.45,17,3,2,12,16,39,-23,11,0.65,18.5,37.2,-18.7,-1.1,565,167,29.6,16.62,4.91,0.11,0.38,17.5,20,2023,netherlands,eredivisie
170,Utrecht,35,25.7,48.4,34,374,3060,34,48,33,81,47,1,1,47,2,46.3,45.5,35.9,81.3,552,1403,1.41,0.97,2.38,1.38,2.35,1.36,1.05,2.41,1.34,2.39,17,4,6,7,20,25,-5,18,1.06,22.2,23.2,-1.0,-0.06,17,3,2,12,18,31,-13,11,0.65,22.3,34.4,-12.1,-0.71,448,151,33.7,13.18,4.44,0.1,0.31,16.3,9,2023,netherlands,eredivisie
171,Vitesse,31,24.9,50.3,34,374,3060,34,29,24,53,28,1,1,62,5,37.7,36.9,28.9,65.8,590,1210,0.85,0.71,1.56,0.82,1.53,1.11,0.85,1.96,1.09,1.94,19,6,7,6,37,29,8,25,1.32,28.7,23.2,5.4,0.32,19,3,4,12,28,53,-25,13,0.68,17.1,34.9,-17.8,-1.05,447,145,32.4,13.15,4.26,0.06,0.19,17.2,10,2023,netherlands,eredivisie
172,Volendam,37,23.4,41.4,34,374,3060,34,33,22,55,32,1,1,58,3,36.6,35.8,26.8,62.6,510,936,0.97,0.65,1.62,0.94,1.59,1.08,0.79,1.87,1.05,1.84,17,3,2,12,16,44,-28,11,0.65,22.2,34.5,-12.3,-0.72,17,1,5,11,18,44,-26,8,0.47,14.4,40.1,-25.7,-1.51,341,116,34.0,10.03,3.41,0.09,0.28,16.3,7,2023,netherlands,eredivisie
173,Zwolle,29,26.3,49.0,34,374,3060,34,45,31,76,43,2,2,67,2,43.1,41.5,31.0,72.5,520,1239,1.32,0.91,2.24,1.26,2.18,1.27,0.91,2.18,1.22,2.13,17,2,6,9,15,30,-15,12,0.71,22.4,30.6,-8.2,-0.48,17,4,0,13,15,44,-29,12,0.71,15.3,33.6,-18.2,-1.07,427,160,37.5,12.56,4.71,0.1,0.27,17.9,14,2023,netherlands,eredivisie
174,Ajax,30,25.5,66.1,34,374,3060,34,86,66,152,81,5,5,46,1,78.8,74.8,61.5,136.3,862,2313,2.53,1.94,4.47,2.38,4.32,2.32,1.81,4.12,2.2,4.01,17,16,1,0,54,11,43,49,2.88,54.5,14.2,40.3,2.37,17,13,3,1,57,10,47,42,2.47,44.4,14.0,30.4,1.79,514,208,40.5,15.12,6.12,0.13,0.32,16.3,11,2022,netherlands,eredivisie
175,AZ Alkmaar,29,24.1,53.5,34,374,3060,34,65,48,113,63,2,3,51,1,55.4,53.1,44.5,97.6,671,1666,1.91,1.41,3.32,1.85,3.26,1.63,1.31,2.94,1.56,2.87,17,13,3,1,51,10,41,42,2.47,49.4,10.2,39.2,2.31,17,13,3,1,41,16,25,42,2.47,43.7,16.0,27.7,1.63,375,109,29.1,11.03,3.21,0.08,0.27,17.9,12,2022,netherlands,eredivisie
176,Cambuur,31,25.8,47.5,34,374,3060,34,25,16,41,24,1,2,49,4,41.2,39.6,29.2,68.8,569,1129,0.74,0.47,1.21,0.71,1.18,1.21,0.86,2.07,1.16,2.02,17,14,1,2,40,17,23,43,2.53,32.6,14.8,17.8,1.05,17,7,5,5,29,19,10,26,1.53,25.4,21.9,3.5,0.2,478,174,36.4,14.06,5.12,0.14,0.38,16.5,16,2022,netherlands,eredivisie
177,Emmen,30,25.9,48.8,34,374,3060,34,31,19,50,30,1,1,43,2,36.7,35.9,27.1,63.0,548,1134,0.91,0.56,1.47,0.88,1.44,1.08,0.8,1.88,1.06,1.85,17,11,3,3,41,18,23,36,2.12,31.6,17.0,14.6,0.86,17,8,5,4,29,21,8,29,1.71,24.9,22.7,2.2,0.13,377,137,36.3,11.09,4.03,0.12,0.34,16.5,9,2022,netherlands,eredivisie
178,Excelsior,28,23.4,41.6,34,374,3060,34,30,24,54,30,0,2,49,1,35.0,33.6,25.8,59.4,473,1094,0.88,0.71,1.59,0.88,1.59,1.03,0.76,1.79,0.99,1.75,17,9,6,2,39,21,18,33,1.94,33.4,20.6,12.8,0.76,17,6,5,6,35,40,-5,23,1.35,31.7,32.0,-0.3,-0.02,694,253,36.5,20.41,7.44,0.12,0.34,16.5,23,2022,netherlands,eredivisie
179,Feyenoord,30,23.5,58.6,34,374,3060,34,77,60,137,74,3,3,47,0,65.6,63.2,50.4,113.6,973,1906,2.26,1.76,4.03,2.18,3.94,1.93,1.48,3.41,1.86,3.34,17,8,4,5,35,25,10,28,1.65,26.2,25.6,0.6,0.03,17,6,7,4,33,26,7,25,1.47,21.8,34.4,-12.6,-0.74,471,151,32.1,13.85,4.44,0.07,0.22,18.5,16,2022,netherlands,eredivisie
180,Fortuna Sittard,28,26.7,44.1,34,374,3060,34,39,22,61,32,7,7,63,3,36.3,31.1,24.3,55.4,529,1036,1.15,0.65,1.79,0.94,1.59,1.07,0.72,1.78,0.91,1.63,17,8,5,4,29,23,6,29,1.71,25.9,22.7,3.2,0.19,17,5,6,6,20,24,-4,21,1.24,20.4,25.3,-4.9,-0.29,486,185,38.1,14.29,5.44,0.09,0.23,17.6,21,2022,netherlands,eredivisie
181,Go Ahead Eag,27,24.2,46.9,34,374,3060,34,45,25,70,43,2,4,51,2,45.0,41.9,31.5,73.4,475,1232,1.32,0.74,2.06,1.26,2.0,1.32,0.93,2.25,1.23,2.16,17,6,5,6,25,25,0,23,1.35,26.4,23.4,3.0,0.18,17,8,2,7,26,23,3,26,1.53,19.8,29.1,-9.3,-0.55,486,153,31.5,14.29,4.5,0.09,0.29,18.0,14,2022,netherlands,eredivisie
182,Groningen,36,23.0,46.4,34,374,3060,34,30,23,53,29,1,1,51,5,31.8,31.0,25.2,56.2,527,1062,0.88,0.68,1.56,0.85,1.53,0.94,0.74,1.68,0.91,1.65,17,7,4,6,31,23,8,25,1.47,29.8,25.7,4.0,0.24,17,5,6,6,16,23,-7,21,1.24,19.7,29.9,-10.1,-0.6,362,116,32.0,10.65,3.41,0.1,0.31,17.9,8,2022,netherlands,eredivisie
183,Heerenveen,26,24.9,50.2,34,374,3060,34,43,29,72,42,1,3,51,1,44.1,41.7,29.7,71.4,632,1245,1.26,0.85,2.12,1.24,2.09,1.3,0.87,2.17,1.23,2.1,17,7,6,4,27,20,7,27,1.59,29.1,17.0,12.0,0.71,17,2,5,10,10,36,-26,11,0.65,15.6,26.4,-10.8,-0.64,440,193,43.9,12.94,5.68,0.14,0.32,18.0,19,2022,netherlands,eredivisie
184,NEC Nijmegen,22,25.6,50.7,34,374,3060,34,42,32,74,38,4,5,48,3,48.2,44.3,35.3,79.6,637,1256,1.24,0.94,2.18,1.12,2.06,1.42,1.04,2.46,1.3,2.34,17,6,3,8,30,36,-6,21,1.24,27.4,23.9,3.5,0.21,17,4,4,9,23,34,-11,16,0.94,19.6,29.6,-10.0,-0.59,780,291,37.3,22.94,8.56,0.13,0.35,16.5,7,2022,netherlands,eredivisie
185,PSV Eindhoven,32,25.1,55.5,34,374,3060,34,87,63,150,81,6,7,47,3,81.5,76.0,61.3,137.3,787,1734,2.56,1.85,4.41,2.38,4.24,2.4,1.8,4.2,2.23,4.04,17,5,3,9,19,31,-12,18,1.06,25.2,24.0,1.2,0.07,17,4,6,7,26,36,-10,18,1.06,17.9,38.5,-20.6,-1.21,408,140,34.3,12.0,4.12,0.08,0.23,17.5,15,2022,netherlands,eredivisie
186,RKC Waalwijk,27,26.7,45.4,34,374,3060,34,49,38,87,45,4,4,57,2,45.4,42.4,35.2,77.6,557,1297,1.44,1.12,2.56,1.32,2.44,1.33,1.03,2.37,1.25,2.28,17,3,7,7,18,30,-12,16,0.94,18.5,26.8,-8.3,-0.49,17,4,6,7,15,29,-14,18,1.06,16.2,29.0,-12.8,-0.75,435,163,37.5,12.79,4.79,0.1,0.27,17.7,11,2022,netherlands,eredivisie
187,Sparta R'dam,30,26.3,47.9,34,374,3060,34,59,47,106,55,4,5,42,3,41.5,37.7,29.5,67.2,511,1136,1.74,1.38,3.12,1.62,3.0,1.22,0.87,2.09,1.11,1.98,17,6,4,7,25,35,-10,22,1.29,23.3,30.9,-7.6,-0.45,17,3,2,12,16,39,-23,11,0.65,18.5,37.2,-18.7,-1.1,565,167,29.6,16.62,4.91,0.11,0.38,17.5,20,2022,netherlands,eredivisie
188,Twente,26,26.1,57.8,34,374,3060,34,65,49,114,62,3,3,45,1,62.8,60.7,48.9,109.6,789,1638,1.91,1.44,3.35,1.82,3.26,1.85,1.44,3.29,1.79,3.22,17,4,6,7,20,25,-5,18,1.06,22.2,23.2,-1.0,-0.06,17,3,2,12,18,31,-13,11,0.65,22.3,34.4,-12.1,-0.71,448,151,33.7,13.18,4.44,0.1,0.31,16.3,9,2022,netherlands,eredivisie
189,Utrecht,33,26.9,49.2,34,374,3060,34,54,37,91,51,3,4,52,1,49.3,46.2,36.5,82.6,505,1234,1.59,1.09,2.68,1.5,2.59,1.45,1.07,2.52,1.36,2.43,19,6,7,6,37,29,8,25,1.32,28.7,23.2,5.4,0.32,19,3,4,12,28,53,-25,13,0.68,17.1,34.9,-17.8,-1.05,447,145,32.4,13.15,4.26,0.06,0.19,17.2,10,2022,netherlands,eredivisie
190,Vitesse,30,23.4,48.8,34,374,3060,34,43,32,75,42,1,1,51,5,43.8,43.2,33.0,76.3,528,1274,1.26,0.94,2.21,1.24,2.18,1.29,0.97,2.26,1.27,2.24,17,3,2,12,16,44,-28,11,0.65,22.2,34.5,-12.3,-0.72,17,1,5,11,18,44,-26,8,0.47,14.4,40.1,-25.7,-1.51,341,116,34.0,10.03,3.41,0.09,0.28,16.3,7,2022,netherlands,eredivisie
191,Volendam,31,23.9,41.0,34,374,3060,34,41,33,74,41,0,0,41,3,42.5,42.5,33.4,75.9,514,1091,1.21,0.97,2.18,1.21,2.18,1.25,0.98,2.23,1.25,2.23,17,2,6,9,15,30,-15,12,0.71,22.4,30.6,-8.2,-0.48,17,4,0,13,15,44,-29,12,0.71,15.3,33.6,-18.2,-1.07,427,160,37.5,12.56,4.71,0.1,0.27,17.9,14,2022,netherlands,eredivisie
192,Ajax,30,26.2,66.0,34,374,3060,34,94,71,165,88,6,9,35,1,94.3,87.4,70.2,157.6,811,2602,2.76,2.09,4.85,2.59,4.68,2.77,2.07,4.84,2.57,4.64,17,16,1,0,54,11,43,49,2.88,54.5,14.2,40.3,2.37,17,13,3,1,57,10,47,42,2.47,44.4,14.0,30.4,1.79,514,208,40.5,15.12,6.12,0.13,0.32,16.3,11,2021,netherlands,eredivisie
193,AZ Alkmaar,28,24.4,55.8,34,374,3060,34,62,49,111,56,6,7,52,1,57.7,52.2,41.7,93.9,600,1674,1.82,1.44,3.26,1.65,3.09,1.7,1.23,2.92,1.54,2.76,17,13,3,1,51,10,41,42,2.47,49.4,10.2,39.2,2.31,17,13,3,1,41,16,25,42,2.47,43.7,16.0,27.7,1.63,375,109,29.1,11.03,3.21,0.08,0.27,17.9,12,2021,netherlands,eredivisie
194,Cambuur,27,26.1,48.3,34,374,3060,34,51,38,89,47,4,5,54,3,40.8,36.9,30.3,67.2,508,984,1.5,1.12,2.62,1.38,2.5,1.2,0.89,2.09,1.08,1.98,17,14,1,2,40,17,23,43,2.53,32.6,14.8,17.8,1.05,17,7,5,5,29,19,10,26,1.53,25.4,21.9,3.5,0.2,478,174,36.4,14.06,5.12,0.14,0.38,16.5,16,2021,netherlands,eredivisie
195,Feyenoord,31,24.9,58.5,34,374,3060,34,75,57,132,72,3,4,41,0,72.4,69.3,54.1,123.4,837,1830,2.21,1.68,3.88,2.12,3.79,2.13,1.59,3.72,2.04,3.63,17,11,3,3,41,18,23,36,2.12,31.6,17.0,14.6,0.86,17,8,5,4,29,21,8,29,1.71,24.9,22.7,2.2,0.13,377,137,36.3,11.09,4.03,0.12,0.34,16.5,9,2021,netherlands,eredivisie
196,Fortuna Sittard,29,26.3,43.4,34,374,3060,34,35,24,59,32,3,3,62,1,35.5,33.1,26.0,59.1,399,889,1.03,0.71,1.74,0.94,1.65,1.04,0.76,1.81,0.97,1.74,17,9,6,2,39,21,18,33,1.94,33.4,20.6,12.8,0.76,17,6,5,6,35,40,-5,23,1.35,31.7,32.0,-0.3,-0.02,694,253,36.5,20.41,7.44,0.12,0.34,16.5,23,2021,netherlands,eredivisie
197,Go Ahead Eag,26,24.8,47.2,34,374,3060,34,36,27,63,34,2,2,39,5,36.4,34.9,26.5,61.3,449,1124,1.06,0.79,1.85,1.0,1.79,1.07,0.78,1.85,1.03,1.8,17,8,4,5,35,25,10,28,1.65,26.2,25.6,0.6,0.03,17,6,7,4,33,26,7,25,1.47,21.8,34.4,-12.6,-0.74,471,151,32.1,13.85,4.44,0.07,0.22,18.5,16,2021,netherlands,eredivisie
198,Groningen,28,24.4,48.9,34,374,3060,34,39,27,66,38,1,1,55,4,39.1,38.3,26.1,64.4,526,1014,1.15,0.79,1.94,1.12,1.91,1.15,0.77,1.92,1.13,1.89,17,8,5,4,29,23,6,29,1.71,25.9,22.7,3.2,0.19,17,5,6,6,20,24,-4,21,1.24,20.4,25.3,-4.9,-0.29,486,185,38.1,14.29,5.44,0.09,0.23,17.6,21,2021,netherlands,eredivisie
199,Heerenveen,32,24.9,47.6,34,374,3060,34,34,26,60,31,3,3,42,2,44.7,42.1,33.8,75.9,558,1131,1.0,0.76,1.76,0.91,1.68,1.31,0.99,2.31,1.24,2.23,17,6,5,6,25,25,0,23,1.35,26.4,23.4,3.0,0.18,17,8,2,7,26,23,3,26,1.53,19.8,29.1,-9.3,-0.55,486,153,31.5,14.29,4.5,0.09,0.29,18.0,14,2021,netherlands,eredivisie
200,Heracles Almelo,31,23.9,46.8,34,374,3060,34,32,18,50,31,1,2,55,3,41.5,40.0,29.8,69.8,657,1178,0.94,0.53,1.47,0.91,1.44,1.22,0.88,2.1,1.18,2.05,17,7,4,6,31,23,8,25,1.47,29.8,25.7,4.0,0.24,17,5,6,6,16,23,-7,21,1.24,19.7,29.9,-10.1,-0.6,362,116,32.0,10.65,3.41,0.1,0.31,17.9,8,2021,netherlands,eredivisie
201,NEC Nijmegen,25,24.5,47.3,34,374,3060,34,38,19,57,36,2,3,50,3,43.8,41.5,28.7,70.2,559,1044,1.12,0.56,1.68,1.06,1.62,1.29,0.84,2.13,1.22,2.06,17,7,6,4,27,20,7,27,1.59,29.1,17.0,12.0,0.71,17,2,5,10,10,36,-26,11,0.65,15.6,26.4,-10.8,-0.64,440,193,43.9,12.94,5.68,0.14,0.32,18.0,19,2021,netherlands,eredivisie
202,PSV Eindhoven,30,25.3,57.7,34,374,3060,34,84,66,150,83,1,1,42,0,74.8,74.0,58.4,132.4,780,1801,2.47,1.94,4.41,2.44,4.38,2.2,1.72,3.92,2.18,3.9,17,6,3,8,30,36,-6,21,1.24,27.4,23.9,3.5,0.21,17,4,4,9,23,34,-11,16,0.94,19.6,29.6,-10.0,-0.59,780,291,37.3,22.94,8.56,0.13,0.35,16.5,7,2021,netherlands,eredivisie
203,RKC Waalwijk,26,25.9,43.5,34,374,3060,34,39,31,70,38,1,2,54,1,38.3,36.8,29.7,66.4,416,1117,1.15,0.91,2.06,1.12,2.03,1.13,0.87,2.0,1.08,1.95,17,5,3,9,19,31,-12,18,1.06,25.2,24.0,1.2,0.07,17,4,6,7,26,36,-10,18,1.06,17.9,38.5,-20.6,-1.21,408,140,34.3,12.0,4.12,0.08,0.23,17.5,15,2021,netherlands,eredivisie
204,Sparta R'dam,32,27.1,42.0,34,374,3060,34,30,22,52,29,1,2,58,3,33.3,31.7,22.5,54.2,318,1007,0.88,0.65,1.53,0.85,1.5,0.98,0.66,1.64,0.93,1.59,17,3,7,7,18,30,-12,16,0.94,18.5,26.8,-8.3,-0.49,17,4,6,7,15,29,-14,18,1.06,16.2,29.0,-12.8,-0.75,435,163,37.5,12.79,4.79,0.1,0.27,17.7,11,2021,netherlands,eredivisie
